input_node,neighbor_node,weight
0,1723,0.3333333333333333
0,1797,0.3333333333333333
0,1816,0.3333333333333333
1,1723,0.3333333333333333
1,1789,0.3333333333333333
1,1844,0.3333333333333333
2,1695,0.3333333333333333
2,1698,0.3333333333333333
2,1809,0.3333333333333333
3,1695,0.125
3,1698,0.125
3,1730,0.125
3,1761,0.375
3,1850,0.25
4,1723,0.3333333333333333
4,1732,0.3333333333333333
4,1844,0.3333333333333333
5,1695,0.037037037037037035
5,1698,0.037037037037037035
5,1700,0.14814814814814814
5,1702,0.14814814814814814
5,1713,0.14814814814814814
5,1722,0.07407407407407407
5,1725,0.14814814814814814
5,1729,0.1111111111111111
5,1761,0.1111111111111111
5,1828,0.037037037037037035
6,1695,0.09090909090909091
6,1697,0.09090909090909091
6,1704,0.2727272727272727
6,1713,0.18181818181818182
6,1719,0.2727272727272727
6,1736,0.09090909090909091
7,1695,0.0625
7,1722,0.1875
7,1730,0.1875
7,1731,0.125
7,1776,0.0625
7,1802,0.1875
7,1827,0.1875
8,1697,0.2
8,1723,0.2
8,1732,0.2
8,1733,0.2
8,1827,0.2
9,1695,0.14285714285714285
9,1698,0.14285714285714285
9,1702,0.14285714285714285
9,1703,0.14285714285714285
9,1725,0.14285714285714285
9,1727,0.14285714285714285
9,1828,0.14285714285714285
10,1695,0.5
10,1776,0.5
11,1695,0.06666666666666667
11,1697,0.06666666666666667
11,1698,0.06666666666666667
11,1700,0.13333333333333333
11,1703,0.13333333333333333
11,1731,0.13333333333333333
11,1733,0.13333333333333333
11,1816,0.13333333333333333
11,1827,0.13333333333333333
12,1695,0.3333333333333333
12,1743,0.3333333333333333
12,1843,0.3333333333333333
13,1695,0.5
13,1743,0.5
14,1695,0.1111111111111111
14,1698,0.1111111111111111
14,1700,0.1111111111111111
14,1702,0.1111111111111111
14,1727,0.1111111111111111
14,1731,0.1111111111111111
14,1828,0.1111111111111111
14,1830,0.1111111111111111
14,1852,0.1111111111111111
15,1695,0.1
15,1698,0.1
15,1733,0.2
15,1741,0.2
15,1830,0.2
15,1852,0.2
16,1695,0.07692307692307693
16,1722,0.15384615384615385
16,1743,0.07692307692307693
16,1778,0.3076923076923077
16,1819,0.07692307692307693
16,1824,0.3076923076923077
17,1695,0.5
17,1743,0.5
18,1695,0.5
18,1698,0.5
19,1703,0.2
19,1723,0.2
19,1732,0.2
19,1733,0.2
19,1844,0.2
20,1695,0.16666666666666666
20,1703,0.16666666666666666
20,1743,0.16666666666666666
